First Level,Second Level,Third Level (Fourth Level Task Count)
Information Extraction,Search By Attribute No Calculate,music info retrieval
Information Extraction,App Function Understanding,app layout understanding excel
Information Extraction,App Function Understanding,app layout understanding ppt
Information Extraction,App Function Understanding,app layout understanding instagram
Information Extraction,App Function Understanding,app layout understanding leetcode
Information Extraction,App Function Understanding,app layout understanding amazon
Information Extraction,App Function Understanding,app layout understanding iphone settings
Information Extraction,App Function Understanding,app layout understanding alipay
Information Extraction,App Function Understanding,app layout understanding zoom
Information Extraction,App Function Understanding,app layout understanding word
Information Extraction,App Function Understanding,app layout understanding twitter
Information Extraction,App Function Understanding,app layout understanding youtube
Information Extraction,App Function Understanding,app layout understanding notes
Information Extraction,App Function Understanding,app layout understanding tiktok
Science,Chemistry,chemistry exams v
Science,Chemistry,science molecule chemistry
Science,STEM,scibench fundamental wo solution
Science,STEM,question solution solving
Science,STEM,scibench w solution open ended
Science,STEM,quizlet question solving
Science,STEM,MMMU pro exam screenshot
Science,STEM,arxiv vqa
Science,STEM,tqa textbook qa
Science,Physics,physics exams v
Science,Physics,science basic physics
Science,Physics,circuit diagram understanding
Science,Physics,MMMU physics chemistry MCQ
Science,Life Sciences,biology exams v
Science,Life Sciences,Medical (15 tasks)
Planning,Reordering,perception test video character order
Planning,Reordering,recipe image ordering
Planning,Reordering,comic page ordering
Planning,Puzzles and Games,maze 2d 8x8
Planning,Puzzles and Games,crossword mini 5x5
Planning,Puzzles and Games,icon arithmetic puzzle
Planning,Puzzles and Games,iq test
Planning,Puzzles and Games,Bongard Problem
Planning,Puzzles and Games,mensa iq test
Planning,Puzzles and Games,mnist pattern
Planning,Puzzles and Games,logical reasoning 2d folding
Planning,Puzzles and Games,perception test object shuffle video
Planning,Puzzles and Games,logical reasoning 2D views of 3D shapes
Planning,Puzzles and Games,arc agi
Planning,Puzzles and Games,number puzzle kakuro 5x5
Planning,Puzzles and Games,logical reasoning find odd one out
Planning,Puzzles and Games,Pictionary (5 tasks)
Planning,Puzzles and Games,move pos to pos hanoi 4 pole
Planning,Puzzles and Games,Board Games (12 tasks)
Planning,Puzzles and Games,logical reasoning fit pattern
Planning,Puzzles and Games,ball cup swap 3
Planning,Puzzles and Games,annoying word search
Planning,Puzzles and Games,rebus
Planning,Puzzles and Games,number puzzle sudoku
Planning,Agents and Planning,Navigation (6 tasks)
Planning,Agents and Planning,wikihow complex task completion
Planning,Agents and Planning,calendar schedule suggestion
Planning,Agents and Planning,Symbolic Planning (13 tasks)
Planning,Agents and Planning,GUI Operation (18 tasks)
Mathematics,Number Theory,counterfactual arithmetic
Mathematics,General,theoremqa
Mathematics,General,math exams v
Mathematics,General,math
Mathematics,Graph Theory,graph shortest path kamada kawai
Mathematics,Graph Theory,graph connectivity
Mathematics,Graph Theory,graph hamiltonian path
Mathematics,Graph Theory,graph theory
Mathematics,Graph Theory,graph hamiltonian cycle
Mathematics,Graph Theory,graph shortest path planar
Mathematics,Graph Theory,topological sort
Mathematics,Graph Theory,graph isomorphism
Mathematics,Graph Theory,graph chordless cycle
Mathematics,Graph Theory,graph maxflow
Mathematics,Numeric Reasoning,iconqa
Mathematics,Numeric Reasoning,number comparison
Mathematics,Numeric Reasoning,clevr arithmetic
Mathematics,Functions,math parity
Mathematics,Functions,math breakpoint
Mathematics,Functions,math convexity value estimation
Mathematics,Geometry,geometry reasoning grid
Mathematics,Geometry,geometry descriptive
Mathematics,Geometry,geometry length
Mathematics,Geometry,geometry transformation
Mathematics,Geometry,geometry analytic
Mathematics,Geometry,geometry solid
Mathematics,Geometry,geometry reasoning count line intersections
Mathematics,Geometry,geometry reasoning nested squares
Mathematics,Geometry,polygon interior angles
Mathematics,Geometry,geometry reasoning overlapped circle
Mathematics,Geometry,geometry area
Mathematics,Calculus,scibench calculus wo solution
Mathematics,Algebra,algebra
Knowledge,Arts,poetry generation (7 tasks)
Knowledge,Arts,ascii art 30
Knowledge,World Knowledge,Music (6 tasks)
Knowledge,World Knowledge,rocks samples compare
Knowledge,World Knowledge,ancient map understanding
Knowledge,World Knowledge,Memorization (4 tasks)
Knowledge,World Knowledge,product ocr qa
Knowledge,World Knowledge,Actor Character and Famous People (3 tasks)
Knowledge,World Knowledge,Daily (2 tasks)
Knowledge,World Knowledge,soccer offside
Knowledge,World Knowledge,Painting (2 tasks)
Knowledge,World Knowledge,location vqa
Knowledge,World Knowledge,chinese idiom recognition
Knowledge,World Knowledge,Landmark and Buliding (3 tasks)
Knowledge,World Knowledge,deciphering oracle bone
Knowledge,World Knowledge,worldle
Knowledge,World Knowledge,song title identification from lyrics
Knowledge,World Knowledge,Ruozhiba (6 tasks)
Knowledge,World Knowledge,Multiple State Identification (4 tasks)
Knowledge,World Knowledge,dish ingredient match
Knowledge,World Knowledge,Logo and Sign (3 tasks)
Knowledge,World Knowledge,font recognition
Knowledge,World Knowledge,signage navigation
Knowledge,World Knowledge,insect order classification
Knowledge,World Knowledge,traffic accident analysis
Knowledge,World Knowledge,defeasible reasoning
Knowledge,Human and Culture,sign language
Knowledge,Human and Culture,video content follow up
Knowledge,Human and Culture,theory of minds (2 tasks)
Knowledge,Human and Culture,same profession gender classification
Knowledge,Human and Culture,hashtag recommendation
Knowledge,Human and Culture,emotion and intent understanding (9 tasks)
Knowledge,Human and Culture,safety and norm (13 tasks)
Knowledge,Human and Culture,ishihara test
Knowledge,Human and Culture,cultural vqa
Knowledge,Human and Culture,human relationship reasoning
Knowledge,Fact Checking,face swap
Knowledge,Fact Checking,interpret force perspective illusion
Knowledge,Fact Checking,text style
Knowledge,Fact Checking,out of context
Knowledge,Fact Checking,unusual images
Knowledge,Fact Checking,face attribute edit
Knowledge,Fact Checking,background change
Knowledge,Fact Checking,distinguish ai generated image
Knowledge,Fact Checking,forensic detection of different images
Knowledge,Fact Checking,veracity
Knowledge,Fact Checking,clip stable diffusion generate
Knowledge,Fact Checking,text entity replace
Coding,Code Debugging,code error line identification
Coding,Code Debugging,media QA web stackoverflow
Coding,Code Understanding,webpage code understanding
Coding,Code Understanding,Code Output (3 tasks)
Coding,Code Understanding,Symbolic Graphics Programming (2 tasks)
Coding,Code Understanding,Code Match (5 tasks)
Coding,Code Understanding,code add tag
Coding,Code Generation,Programming Problems (4 tasks)
Coding,Code Generation,Document Conversion (8 tasks)
Coding,Code Generation,visualization with code
Coding,Code Translation,code translation hard
Coding,Code Translation,code translation advanced
Coding,Code Translation,code translation easy
Coding,Code Translation,code translation Python
Perception,Counting,counting
Perception,Counting,clevrer video moving object count
Perception,Counting,cvbench adapted cvbench count
Perception,Counting,av human multiview counting
Perception,Counting,av vehicle multiview counting
Perception,Counting,Ad count detection
Perception,Counting,counting multi image
Perception,Counting,shape composition shapes
Perception,Counting,shape composition colours
Perception,Image Segmentation,visual prediction rater semantic segmentation
Perception,Image Segmentation,visual prediction rater panoptic segmentation
Perception,Image Segmentation,visual prediction rater openable part segmentation
Perception,3D understanding,pokemon 3D recognition
Perception,3D understanding,video motion matching real 3D
Perception,3D understanding,3d indoor scene text bbox prediction
Perception,3D understanding,cvbench adapted cvbench depth
Perception,3D understanding,av view identification
Perception,3D understanding,visual prediction rater 3d assembled quality understanding
Perception,3D understanding,relative depth of different points
Perception,3D understanding,google streetview direction understanding
Perception,3D understanding,google streetview circle reasoning
Perception,3D understanding,google streetview circle sorting
Perception,3D understanding,multiview reasoning camera moving
Perception,3D understanding,3d indoor scene text bbox selection
Perception,3D understanding,visual prediction rater plane segmentation
Perception,3D understanding,video motion matching 3D real
Perception,3D understanding,visual prediction rater novel view synthesis
Perception,3D understanding,visual prediction rater surface normal estimation
Perception,3D understanding,visual prediction rater depth estimation
Perception,Multimodal Captioning,tweets captioning
Perception,Multimodal Captioning,docci image description long
Perception,Multimodal Captioning,video detail description
Perception,Multimodal Captioning,guess image generation prompt
Perception,Multimodal Captioning,image captioning with additional requirements
Perception,Diagram and Document Understanding,Table QA (6 tasks)
Perception,Diagram and Document Understanding,Diagram (24 tasks)
Perception,Diagram and Document Understanding,Document (9 tasks)
Perception,Object and Scene Understanding,visualdial visual dialog image guessing
Perception,Object and Scene Understanding,ocrqa
Perception,Object and Scene Understanding,semantic matching of two images
Perception,Object and Scene Understanding,clevrer object existence video
Perception,Object and Scene Understanding,egocentric analysis single image
Perception,Object and Scene Understanding,super clevr
Perception,Object and Scene Understanding,snli ve visual entailment
Perception,Object and Scene Understanding,autonomous driving scene analysis
Perception,Object and Scene Understanding,functionality matching in different objects
Perception,Object and Scene Understanding,nlvr2 two image compare qa
Perception,Spatial Understanding,position relationship
Perception,Spatial Understanding,egocentric spatial reasoning
Perception,Spatial Understanding,visual correspondance in two images
Perception,Spatial Understanding,video grounding spatial
Perception,Spatial Understanding,cvbench adapted cvbench distance
Perception,Spatial Understanding,cvbench adapted cvbench relation
Perception,Spatial Understanding,2d image jigsaw puzzle easy
Perception,Temporal Understanding,video camera motion description
Perception,Temporal Understanding,google streetview line sorting
Perception,Temporal Understanding,perception test video action count
Perception,Temporal Understanding,cam traj to video selection
Perception,Temporal Understanding,video grounding temporal
Perception,Temporal Understanding,google streetview line reasoning
Perception,Temporal Understanding,web action prediction
Perception,Temporal Understanding,sta action localization video
Perception,Temporal Understanding,video action recognition
Perception,Temporal Understanding,video to camera trajectory retrieval
Perception,Temporal Understanding,action sequence
Perception,Temporal Understanding,video segments reordering
Perception,Temporal Understanding,action prediction
Perception,Temporal Understanding,sceneqa scene transition video
Perception,Visual Recognition,coco person detection
Perception,Visual Recognition,ascii art understanding
Perception,Visual Recognition,image style recognition
Perception,Visual Recognition,geographic remote sensing land cover
Perception,Visual Recognition,single person pose estimation
Perception,Visual Recognition,face identity matching
Perception,Visual Recognition,av multicamera tracking predict bbox
Perception,Visual Recognition,waybill number sequence extraction
Perception,Visual Recognition,long string letter recognition
Perception,Visual Recognition,rocks samples identify
Perception,Visual Recognition,license plate recognition
Perception,Visual Recognition,face keypoint detection
Perception,Visual Recognition,signboard identification
Perception,Visual Recognition,long string number recognition
Perception,Visual Recognition,handwritten math expression extraction
Perception,Visual Recognition,extract webpage headline
Perception,Visual Recognition,coco object detection by query property
Perception,Visual Recognition,geometry reasoning circled letter
Perception,Visual Recognition,places365 scene type classification
Perception,Visual Recognition,widerface face count and event classification
Perception,Visual Recognition,animal pose estimation
Perception,Visual Recognition,waldo
Perception,Physical Understanding,Lighting and Shading (2 tasks)
Perception,Physical Understanding,Physical Reasoning (8 tasks)
Perception,Multimodal Constrained Captioning,multi contain repeat
Perception,Multimodal Constrained Captioning,multi contain position only
Perception,Multimodal Constrained Captioning,xor images
Perception,Multimodal Constrained Captioning,contain repeat length
Perception,Multimodal Constrained Captioning,contain position length
Perception,Multimodal Constrained Captioning,contain position images
Perception,Multimodal Constrained Captioning,multi contain repeat position only length
Perception,Multimodal Constrained Captioning,contain contain images
Perception,Multimodal Constrained Captioning,contain length
Perception,Multimodal Constrained Captioning,contain contain length
