Level 1,Level 2,Level 3,Level 4,Level 5
Information Extraction,Multimodal QA,Large Image,research website parsing publication,
Information Extraction,Multimodal QA,Large Image,research website parsing homepage,
Information Extraction,Multimodal QA,product ocr qa,,
Information Extraction,Multimodal QA,realworld qa en2cn,,
Information Extraction,Multimodal QA,star object interaction video,,
Information Extraction,Multimodal QA,multilingual news qa,,
Information Extraction,Multimodal QA,GUI Chat,GUI Chat Easy,
Information Extraction,Multimodal QA,GUI Chat,GUI Chat Hard,
Information Extraction,App Function Understanding,app layout understanding excel,,
Information Extraction,App Function Understanding,app layout understanding ppt,,
Information Extraction,App Function Understanding,app layout understanding instagram,,
Information Extraction,App Function Understanding,app layout understanding leetcode,,
Information Extraction,App Function Understanding,app layout understanding amazon,,
Information Extraction,App Function Understanding,app layout understanding iphone settings,,
Information Extraction,App Function Understanding,app layout understanding alipay,,
Information Extraction,App Function Understanding,app layout understanding zoom,,
Information Extraction,App Function Understanding,app layout understanding word,,
Information Extraction,App Function Understanding,app layout understanding twitter,,
Information Extraction,App Function Understanding,app layout understanding youtube,,
Information Extraction,App Function Understanding,app layout understanding notes,,
Information Extraction,App Function Understanding,app layout understanding tiktok,,
Information Extraction,Search by Attribute wo Calculate,places365 similar scene retrieval,,
Information Extraction,Search by Attribute wo Calculate,media homepage profile,,
Information Extraction,Search by Attribute wo Calculate,coco ood global image retrieval by query property,,
Information Extraction,Search by Attribute wo Calculate,movie retrieval by actor,,
Information Extraction,Search by Attribute wo Calculate,booking web recommendation,,
Information Extraction,Search by Attribute wo Calculate,tv show retrieval by character,,
Information Extraction,Search by Attribute wo Calculate,game info retrieval,,
Information Extraction,Search by Attribute wo Calculate,music info retrieval,,
Science,Chemistry,chemistry exams v,,
Science,Chemistry,science molecule chemistry,,
Science,STEM,scibench fundamental wo solution,,
Science,STEM,question solution solving,,
Science,STEM,scibench w solution open ended,,
Science,STEM,quizlet question solving,,
Science,STEM,MMMU pro exam screenshot,,
Science,STEM,arxiv vqa,,
Science,STEM,tqa textbook qa,,
Science,Physics,physics exams v,,
Science,Physics,MMMU physics chemistry selected,,
Science,Physics,science basic physics,,
Science,Physics,circuit diagram understanding,,
Science,Life Sciences,biology exams v,,
Science,Life Sciences,Medical,medical parasite detection,
Science,Life Sciences,Medical,medical image artifacts indentification,
Science,Life Sciences,Medical,medical abdomen endscopy organ recognition,
Science,Life Sciences,Medical,medical polyp segmentation single object rater,
Science,Life Sciences,Medical,medical multi organ segmentation rater,
Science,Life Sciences,Medical,medical counting lymphocytes,
Science,Life Sciences,Medical,medical retrieval given surgeon activity,
Science,Life Sciences,Medical,electrocardiogram,
Science,Life Sciences,Medical,medical blood vessels recognition,
Science,Life Sciences,Medical,medical abdomen MRI organ recognition,
Science,Life Sciences,Medical,pmc vqa medical image qa,
Science,Life Sciences,Medical,medical cell recognition,
Science,Life Sciences,Medical,medical content based retrieval radiology,
Science,Life Sciences,Medical,healthcare info judgement,
Science,Life Sciences,Medical,medical keywords based retrieval non radiology,
Planning,Reordering,perception test video character order,,
Planning,Reordering,recipe image ordering,,
Planning,Reordering,comic page ordering,,
Planning,Puzzles and Games,maze 2d 8x8,,
Planning,Puzzles and Games,crossword mini 5x5,,
Planning,Puzzles and Games,icon arithmetic puzzle,,
Planning,Puzzles and Games,bongard problem,,
Planning,Puzzles and Games,mensa iq test,,
Planning,Puzzles and Games,mnist pattern,,
Planning,Puzzles and Games,logical reasoning 2d folding,,
Planning,Puzzles and Games,perception test object shuffle video,,
Planning,Puzzles and Games,logical reasoning 2D views of 3D shapes,,
Planning,Puzzles and Games,arc agi,,
Planning,Puzzles and Games,number puzzle kakuro 5x5,,
Planning,Puzzles and Games,logical reasoning find odd one out,,
Planning,Puzzles and Games,Pictionary,pictionary chinese food img2en,
Planning,Puzzles and Games,Pictionary,pictionary cartoon drawing guess,
Planning,Puzzles and Games,Pictionary,pictionary genai output chinese,
Planning,Puzzles and Games,Pictionary,pictionary doodle guess,
Planning,Puzzles and Games,Pictionary,pictionary skribbl io,
Planning,Puzzles and Games,move pos to pos hanoi 4 pole,,
Planning,Puzzles and Games,Board Games,bridge strategies worldclass,
Planning,Puzzles and Games,Board Games,chess puzzles checkmate,
Planning,Puzzles and Games,Board Games,bridge strategies advanced,
Planning,Puzzles and Games,Board Games,chess puzzle single step,
Planning,Puzzles and Games,Board Games,mahjong,
Planning,Puzzles and Games,Board Games,go capture stone,
Planning,Puzzles and Games,Board Games,chess puzzles equality,
Planning,Puzzles and Games,Board Games,chess winner identification,
Planning,Puzzles and Games,Board Games,bridge strategies expert,
Planning,Puzzles and Games,Board Games,chess puzzles crushing,
Planning,Puzzles and Games,Board Games,chess find legal moves,
Planning,Puzzles and Games,Board Games,chess sygyzy endgames,
Planning,Puzzles and Games,logical reasoning fit pattern,,
Planning,Puzzles and Games,iq test open ended,,
Planning,Puzzles and Games,ball cup swap 3,,
Planning,Puzzles and Games,annoying word search,,
Planning,Puzzles and Games,rebus,,
Planning,Puzzles and Games,number puzzle sudoku,,
Planning,Agents and Planning,Navigation,vlnqa egocentric navigation video,
Planning,Agents and Planning,Navigation,vln tegulu next step,
Planning,Agents and Planning,Navigation,vln english next step,
Planning,Agents and Planning,Navigation,vln hindi next step,
Planning,Agents and Planning,Navigation,vln identify robot,
Planning,Agents and Planning,Navigation,vln identify location,
Planning,Agents and Planning,wikihow complex task completion,,
Planning,Agents and Planning,calendar schedule suggestion,,
Planning,Agents and Planning,Symbolic Planning,planning visual termes,
Planning,Agents and Planning,Symbolic Planning,planning screenshot termes,
Planning,Agents and Planning,Symbolic Planning,planning screenshot tyreworld,
Planning,Agents and Planning,Symbolic Planning,planning visual floortile,
Planning,Agents and Planning,Symbolic Planning,planning visual storage,
Planning,Agents and Planning,Symbolic Planning,planning visual barman,
Planning,Agents and Planning,Symbolic Planning,planning screenshot blocksworld,
Planning,Agents and Planning,Symbolic Planning,planning screenshot floortile,
Planning,Agents and Planning,Symbolic Planning,planning screenshot storage,
Planning,Agents and Planning,Symbolic Planning,planning visual grippers,
Planning,Agents and Planning,Symbolic Planning,planning screenshot grippers,
Planning,Agents and Planning,Symbolic Planning,planning visual blocksworld,
Planning,Agents and Planning,Symbolic Planning,planning screenshot barman,
Planning,Agents and Planning,GUI Operation,GUI Act Mobile swipe,
Planning,Agents and Planning,GUI Operation,app interactive operations leetcode,
Planning,Agents and Planning,GUI Operation,app interactive operations excel,
Planning,Agents and Planning,GUI Operation,GUI Act Web Single,
Planning,Agents and Planning,GUI Operation,app interactive operations iphone settings,
Planning,Agents and Planning,GUI Operation,app interactive operations tiktok,
Planning,Agents and Planning,GUI Operation,app interactive operations twitter,
Planning,Agents and Planning,GUI Operation,app interactive operations word,
Planning,Agents and Planning,GUI Operation,app interactive operations zoom,
Planning,Agents and Planning,GUI Operation,app interactive operations youtube,
Planning,Agents and Planning,GUI Operation,web action grounding,
Planning,Agents and Planning,GUI Operation,app interactive operations instagram,
Planning,Agents and Planning,GUI Operation,app interactive operations ppt,
Planning,Agents and Planning,GUI Operation,GUI Act Mobile tap,
Planning,Agents and Planning,GUI Operation,app interactive operations alipay,
Planning,Agents and Planning,GUI Operation,app interactive operations amazon,
Planning,Agents and Planning,GUI Operation,GUI Act Web Multi,
Planning,Agents and Planning,GUI Operation,app interactive operations notes,
Mathematics,Number Theory,counterfactual arithmetic,,
Mathematics,General,theoremqa,,
Mathematics,General,math exams v,,
Mathematics,General,math,,
Mathematics,Graph Theory,graph shortest path kamada kawai,,
Mathematics,Graph Theory,graph connectivity,,
Mathematics,Graph Theory,graph hamiltonian path,,
Mathematics,Graph Theory,graph theory,,
Mathematics,Graph Theory,graph hamiltonian cycle,,
Mathematics,Graph Theory,graph shortest path planar,,
Mathematics,Graph Theory,topological sort,,
Mathematics,Graph Theory,graph isomorphism,,
Mathematics,Graph Theory,graph chordless cycle,,
Mathematics,Graph Theory,graph maxflow,,
Mathematics,Numeric Reasoning,number comparison,,
Mathematics,Numeric Reasoning,clevr arithmetic,,
Mathematics,Numeric Reasoning,iconqa count and reasoning,,
Mathematics,Functions,math parity,,
Mathematics,Functions,math breakpoint,,
Mathematics,Functions,math convexity value estimation,,
Mathematics,Geometry,geometry reasoning grid,,
Mathematics,Geometry,geometry descriptive,,
Mathematics,Geometry,geometry length,,
Mathematics,Geometry,geometry transformation,,
Mathematics,Geometry,geometry analytic,,
Mathematics,Geometry,geometry solid,,
Mathematics,Geometry,geometry reasoning count line intersections,,
Mathematics,Geometry,geometry reasoning nested squares,,
Mathematics,Geometry,polygon interior angles,,
Mathematics,Geometry,geometry reasoning overlapped circle,,
Mathematics,Geometry,geometry area,,
Mathematics,Calculus,scibench calculus wo solution,,
Mathematics,Algebra,algebra,,
Knowledge,Arts,poetry generation,poetry acrostic alliteration,
Knowledge,Arts,poetry generation,poetry haiku,
Knowledge,Arts,poetry generation,poetry acrostic,
Knowledge,Arts,poetry generation,poetry limerick,
Knowledge,Arts,poetry generation,poetry petrarchian sonnet optional meter,
Knowledge,Arts,poetry generation,poetry shakespearean sonnet,
Knowledge,Arts,poetry generation,poetry custom rhyming scheme,
Knowledge,Arts,ascii art 30,,
Knowledge,World Knowledge,Music,music sheet sentiment,
Knowledge,World Knowledge,Music,music sheet author,
Knowledge,World Knowledge,Music,music sheet format QA,
Knowledge,World Knowledge,Music,orchestra score recognition,
Knowledge,World Knowledge,Music,music sheet name,
Knowledge,World Knowledge,Music,music sheet note count,
Knowledge,World Knowledge,rocks samples compare,,
Knowledge,World Knowledge,ancient map understanding,,
Knowledge,World Knowledge,Memorization,memorization famous treaty,
Knowledge,World Knowledge,Memorization,memorization indian celebrity,
Knowledge,World Knowledge,Memorization,memorization papers,
Knowledge,World Knowledge,Memorization,memorization chinese celebrity,
Knowledge,World Knowledge,Actor Character and Famous People,actor recognition in Movie,
Knowledge,World Knowledge,Actor Character and Famous People,kvqa knowledge aware qa,
Knowledge,World Knowledge,Actor Character and Famous People,character recognition in TV shows,
Knowledge,World Knowledge,Daily,vibe eval open,
Knowledge,World Knowledge,Daily,vibe eval phrase,
Knowledge,World Knowledge,soccer offside,,
Knowledge,World Knowledge,Painting,painting QA,
Knowledge,World Knowledge,Painting,art explanation,
Knowledge,World Knowledge,location vqa,,
Knowledge,World Knowledge,chinese idiom recognition,,
Knowledge,World Knowledge,Landmark and Buliding,famous building recognition,
Knowledge,World Knowledge,Landmark and Buliding,landmark check two images,
Knowledge,World Knowledge,Landmark and Buliding,landmark recognition and qa,
Knowledge,World Knowledge,deciphering oracle bone,,
Knowledge,World Knowledge,worldle,,
Knowledge,World Knowledge,song title identification from lyrics,,
Knowledge,World Knowledge,Ruozhiba,multi lingual Ruozhiba expalnation Arabic,
Knowledge,World Knowledge,Ruozhiba,multi lingual Ruozhiba expalnation Russian,
Knowledge,World Knowledge,Ruozhiba,multi lingual Ruozhiba expalnation French,
Knowledge,World Knowledge,Ruozhiba,multi lingual Ruozhiba expalnation English,
Knowledge,World Knowledge,Ruozhiba,multi lingual Ruozhiba expalnation Spanish,
Knowledge,World Knowledge,Ruozhiba,multi lingual Ruozhiba expalnation Japanese,
Knowledge,World Knowledge,Multiple State Identification,multiple states identify europe,
Knowledge,World Knowledge,Multiple State Identification,multiple states identify africa,
Knowledge,World Knowledge,Multiple State Identification,multiple states identify americas,
Knowledge,World Knowledge,Multiple State Identification,multiple states identify asia,
Knowledge,World Knowledge,dish ingredient match,,
Knowledge,World Knowledge,Logo and Sign,brand logo recognition and elaboration,
Knowledge,World Knowledge,Logo and Sign,knowledge sign recognition,
Knowledge,World Knowledge,Logo and Sign,logo2k same type logo retrieval,
Knowledge,World Knowledge,font recognition,,
Knowledge,World Knowledge,signage navigation,,
Knowledge,World Knowledge,insect order classification,,
Knowledge,World Knowledge,traffic accident analysis,,
Knowledge,World Knowledge,defeasible reasoning,,
Knowledge,Human and Culture,sign language,,
Knowledge,Human and Culture,video content follow up,,
Knowledge,Human and Culture,theory of minds,muma theory of mind social goal,
Knowledge,Human and Culture,theory of minds,muma theory of mind belief of goal,
Knowledge,Human and Culture,hashtag recommendation,,
Knowledge,Human and Culture,emotion and intent understanding,video intent recognition,
Knowledge,Human and Culture,emotion and intent understanding,humor explanation,
Knowledge,Human and Culture,emotion and intent understanding,mvsa sentiment classification,
Knowledge,Human and Culture,emotion and intent understanding,emotion recognition,
Knowledge,Human and Culture,emotion and intent understanding,humor understand caption match,
Knowledge,Human and Culture,emotion and intent understanding,meme explain,
Knowledge,Human and Culture,emotion and intent understanding,image humor understanding,
Knowledge,Human and Culture,emotion and intent understanding,figurative speech explanation,
Knowledge,Human and Culture,emotion and intent understanding,funny image title,
Knowledge,Human and Culture,safety and norm,MMSoc Misinformation GossipCop,
Knowledge,Human and Culture,safety and norm,red teaming visualmisleading,
Knowledge,Human and Culture,safety and norm,red teaming racial,
Knowledge,Human and Culture,safety and norm,red teaming visual order A,
Knowledge,Human and Culture,safety and norm,MMSoc Memotion,
Knowledge,Human and Culture,safety and norm,MMSoc HatefulMemes,
Knowledge,Human and Culture,safety and norm,llavaguard,
Knowledge,Human and Culture,safety and norm,red teaming politics,
Knowledge,Human and Culture,safety and norm,red teaming celebrity,
Knowledge,Human and Culture,safety and norm,MMSoc Misinformation PolitiFact,
Knowledge,Human and Culture,safety and norm,red teaming visual order B,
Knowledge,Human and Culture,safety and norm,red teaming captcha,
Knowledge,Human and Culture,safety and norm,red teaming jailbreak,
Knowledge,Human and Culture,ishihara test,,
Knowledge,Human and Culture,cultural vqa,,
Knowledge,Human and Culture,human relationship reasoning,,
Knowledge,Fact Checking,face swap,,
Knowledge,Fact Checking,interpret force perspective illusion,,
Knowledge,Fact Checking,text style,,
Knowledge,Fact Checking,out of context,,
Knowledge,Fact Checking,unusual images,,
Knowledge,Fact Checking,face attribute edit,,
Knowledge,Fact Checking,background change,,
Knowledge,Fact Checking,distinguish ai generated image,,
Knowledge,Fact Checking,forensic detection of different images,,
Knowledge,Fact Checking,veracity,,
Knowledge,Fact Checking,clip stable diffusion generate,,
Knowledge,Fact Checking,text entity replace,,
Coding,Code Debugging,code error line identification,,
Coding,Code Debugging,stackoverflow debug QA,,
Coding,Code Understanding,webpage code understanding,,
Coding,Code Understanding,Code Output,code output result,
Coding,Code Understanding,Code Output,code retrieval,
Coding,Code Understanding,Code Output,code execution,
Coding,Code Understanding,Symbolic Graphics Programming,symbolic graphics programs scalable vector graphics,
Coding,Code Understanding,Symbolic Graphics Programming,symbolic graphics programs computer aided design,
Coding,Code Understanding,Code Match,media recommend solutions stackoverflow,
Coding,Code Understanding,Code Match,code solution compare,
Coding,Code Understanding,Code Match,flowchart code generation,
Coding,Code Understanding,Code Match,code visualization output understanding,
Coding,Code Understanding,Code Match,code match problem,
Coding,Code Understanding,code add tag,,
Coding,Code Generation,Programming Problems,code programming test easy,
Coding,Code Generation,Programming Problems,code programming test advanced,
Coding,Code Generation,Programming Problems,code programming test hard,
Coding,Code Generation,Programming Problems,code programming extremely hard,
Coding,Code Generation,Document Conversion,ocr table to latex,
Coding,Code Generation,Document Conversion,Image to Latex,ocr math equation
Coding,Code Generation,Document Conversion,Image to Latex,ocr math text latex
Coding,Code Generation,Document Conversion,Image to Latex,latex complex formula convertion
Coding,Code Generation,Document Conversion,ocr table to csv,
Coding,Code Generation,Document Conversion,table2latex complex,
Coding,Code Generation,Document Conversion,ocr table to markdown,
Coding,Code Generation,Document Conversion,ocr table to html,
Coding,Code Generation,visualization with code,,
Coding,Code Translation,code translation hard,,
Coding,Code Translation,code translation advanced,,
Coding,Code Translation,code translation easy,,
Coding,Code Translation,code translation Python,,
Perception,Counting,clevrer video moving object count,,
Perception,Counting,counting single image,,
Perception,Counting,av human multiview counting,,
Perception,Counting,av vehicle multiview counting,,
Perception,Counting,Ad count detection,,
Perception,Counting,counting multi image,,
Perception,Counting,adapted cvbench count,,
Perception,Counting,shape composition shapes,,
Perception,Counting,shape composition colours,,
Perception,Image Segmentation,visual prediction rater semantic segmentation,,
Perception,Image Segmentation,visual prediction rater panoptic segmentation,,
Perception,Image Segmentation,visual prediction rater openable part segmentation,,
Perception,3D understanding,pokemon 3D recognition,,
Perception,3D understanding,video motion matching real 3D,,
Perception,3D understanding,3d indoor scene text bbox prediction,,
Perception,3D understanding,av view identification,,
Perception,3D understanding,visual prediction rater 3d assembled quality understanding,,
Perception,3D understanding,relative depth of different points,,
Perception,3D understanding,google streetview direction understanding,,
Perception,3D understanding,google streetview circle reasoning,,
Perception,3D understanding,google streetview circle sorting,,
Perception,3D understanding,multiview reasoning camera moving,,
Perception,3D understanding,3d indoor scene text bbox selection,,
Perception,3D understanding,visual prediction rater plane segmentation,,
Perception,3D understanding,video motion matching 3D real,,
Perception,3D understanding,visual prediction rater novel view synthesis,,
Perception,3D understanding,visual prediction rater surface normal estimation,,
Perception,3D understanding,adapted cvbench depth,,
Perception,3D understanding,visual prediction rater depth estimation,,
Perception,Multimodal Captioning,tweets captioning,,
Perception,Multimodal Captioning,docci image description long,,
Perception,Multimodal Captioning,video detail description,,
Perception,Multimodal Captioning,guess image generation prompt,,
Perception,Multimodal Captioning,image captioning with additional requirements,,
Perception,Diagram and Document Understanding,Table QA,finance table understanding,
Perception,Diagram and Document Understanding,Table QA,table understanding complex question answering,
Perception,Diagram and Document Understanding,Table QA,table understanding fact verification,
Perception,Diagram and Document Understanding,Table QA,monthly weather days count,
Perception,Diagram and Document Understanding,Table QA,table understanding fetaqa,
Perception,Diagram and Document Understanding,Table QA,electricity future prediction from table,
Perception,Diagram and Document Understanding,Diagram,recover masked word in figure,
Perception,Diagram and Document Understanding,Diagram,photo sharing image retrieval,
Perception,Diagram and Document Understanding,Diagram,Estimation,exchange rate estimate plot
Perception,Diagram and Document Understanding,Diagram,Estimation,average humidity estimate plot
Perception,Diagram and Document Understanding,Diagram,Estimation,electricity load estimate plot
Perception,Diagram and Document Understanding,Diagram,Future Prediction,electricity plot future prediction
Perception,Diagram and Document Understanding,Diagram,Future Prediction,multi load type prediction from plot
Perception,Diagram and Document Understanding,Diagram,Future Prediction,ili ratio future prediction
Perception,Diagram and Document Understanding,Diagram,Future Prediction,traffic future prediction from line plot
Perception,Diagram and Document Understanding,Diagram,Future Prediction,stock price future prediction
Perception,Diagram and Document Understanding,Diagram,transit map intersection points,
Perception,Diagram and Document Understanding,Diagram,road map find highway between two place,
Perception,Diagram and Document Understanding,Diagram,Diagram QA,panel images multi question
Perception,Diagram and Document Understanding,Diagram,Diagram QA,map diagram qa
Perception,Diagram and Document Understanding,Diagram,Diagram QA,chart vqa
Perception,Diagram and Document Understanding,Diagram,Diagram QA,knowledge graph understanding
Perception,Diagram and Document Understanding,Diagram,Diagram QA,panel images single question
Perception,Diagram and Document Understanding,Diagram,Diagram QA,figureqa
Perception,Diagram and Document Understanding,Diagram,Diagram QA,dvqa
Perception,Diagram and Document Understanding,Diagram,Diagram QA,mindmap elements parsing
Perception,Diagram and Document Understanding,Diagram,Interpretation and Explanation,bar chart interpretation
Perception,Diagram and Document Understanding,Diagram,Interpretation and Explanation,science figure explanation
Perception,Diagram and Document Understanding,Diagram,Interpretation and Explanation,graph interpretation
Perception,Diagram and Document Understanding,Document,Document QA,doc vqa
Perception,Diagram and Document Understanding,Document,Document QA,paper vqa
Perception,Diagram and Document Understanding,Document,Document QA,funsd document qa
Perception,Diagram and Document Understanding,Document,Document Info Parsing,newspaper ocr in query box
Perception,Diagram and Document Understanding,Document,Document Info Parsing,ocr resume experience plain
Perception,Diagram and Document Understanding,Document,Document Info Parsing,ocr resume skill plain
Perception,Diagram and Document Understanding,Document,Document Info Parsing,ocr article journal
Perception,Diagram and Document Understanding,Document,Document Info Parsing,ocr resume employer plain
Perception,Diagram and Document Understanding,Document,Document Info Parsing,IAM line ocr and locate
Perception,Object and Scene Understanding,super clevr scene understanding,,
Perception,Object and Scene Understanding,visual dialog image guessing,,
Perception,Object and Scene Understanding,semantic matching of two images,,
Perception,Object and Scene Understanding,clevrer object existence video,,
Perception,Object and Scene Understanding,egocentric analysis single image,,
Perception,Object and Scene Understanding,ocr open ended qa,,
Perception,Object and Scene Understanding,snli ve visual entailment,,
Perception,Object and Scene Understanding,autonomous driving scene analysis,,
Perception,Object and Scene Understanding,functionality matching in different objects,,
Perception,Object and Scene Understanding,nlvr2 two image compare qa,,
Perception,Spatial Understanding,egocentric spatial reasoning,,
Perception,Spatial Understanding,visual correspondance in two images,,
Perception,Spatial Understanding,adapted cvbench relation,,
Perception,Spatial Understanding,adapted cvbench distance,,
Perception,Spatial Understanding,video grounding spatial,,
Perception,Spatial Understanding,geometry plot position relationship,,
Perception,Spatial Understanding,2d image jigsaw puzzle easy,,
Perception,Temporal Understanding,video camera motion description,,
Perception,Temporal Understanding,google streetview line sorting,,
Perception,Temporal Understanding,next action prediction,,
Perception,Temporal Understanding,perception test video action count,,
Perception,Temporal Understanding,cam traj to video selection,,
Perception,Temporal Understanding,video grounding temporal,,
Perception,Temporal Understanding,google streetview line reasoning,,
Perception,Temporal Understanding,web action prediction,,
Perception,Temporal Understanding,sta action localization video,,
Perception,Temporal Understanding,video action recognition,,
Perception,Temporal Understanding,video to camera trajectory retrieval,,
Perception,Temporal Understanding,video segments reordering,,
Perception,Temporal Understanding,action sequence understanding,,
Perception,Temporal Understanding,sceneqa scene transition video,,
Perception,Visual Recognition,coco person detection,,
Perception,Visual Recognition,ascii art understanding,,
Perception,Visual Recognition,image style recognition,,
Perception,Visual Recognition,geographic remote sensing land cover,,
Perception,Visual Recognition,single person pose estimation,,
Perception,Visual Recognition,face identity matching,,
Perception,Visual Recognition,av multicamera tracking predict bbox,,
Perception,Visual Recognition,waybill number sequence extraction,,
Perception,Visual Recognition,long string letter recognition,,
Perception,Visual Recognition,rocks samples identify,,
Perception,Visual Recognition,license plate recognition,,
Perception,Visual Recognition,face keypoint detection,,
Perception,Visual Recognition,signboard identification,,
Perception,Visual Recognition,long string number recognition,,
Perception,Visual Recognition,handwritten math expression extraction,,
Perception,Visual Recognition,extract webpage headline,,
Perception,Visual Recognition,coco object detection by query property,,
Perception,Visual Recognition,geometry reasoning circled letter,,
Perception,Visual Recognition,places365 scene type classification,,
Perception,Visual Recognition,widerface face count and event classification,,
Perception,Visual Recognition,animal pose estimation,,
Perception,Visual Recognition,waldo,,
Perception,Physical Understanding,Lighting and Shading,relative reflectance of different regions,
Perception,Physical Understanding,Lighting and Shading,photoshop operation,
Perception,Physical Understanding,Physical Reasoning,TRANCE physics reasoning view,
Perception,Physical Understanding,Physical Reasoning,TRANCE physics reasoning event,
Perception,Physical Understanding,Physical Reasoning,clevrer video moving object property recognition,
Perception,Physical Understanding,Physical Reasoning,clevrer moving direction video,
Perception,Physical Understanding,Physical Reasoning,TRANCE physics reasoning basic,
Perception,Physical Understanding,Physical Reasoning,3d fragments understanding,
Perception,Physical Understanding,Physical Reasoning,physical property reasoning,
Perception,Physical Understanding,Physical Reasoning,clevrer physics,
Perception,Multimodal Constrained Captioning,multi contain repeat,,
Perception,Multimodal Constrained Captioning,multi contain position only,,
Perception,Multimodal Constrained Captioning,xor images,,
Perception,Multimodal Constrained Captioning,contain repeat length,,
Perception,Multimodal Constrained Captioning,contain position length,,
Perception,Multimodal Constrained Captioning,contain position images,,
Perception,Multimodal Constrained Captioning,multi contain repeat position only length,,
Perception,Multimodal Constrained Captioning,contain contain images,,
Perception,Multimodal Constrained Captioning,contain length,,
Perception,Multimodal Constrained Captioning,contain contain length,,
